YEAR,HABITAT,SITE,TIME_OF_YEAR,TIME_SINCE_FIRE_DAYS,FIRE_FREQUENCY
2021,F,1,EARLY,1983,4
2021,F,2,EARLY,1983,4
2021,F,3,EARLY,3045,2
2021,F,4,EARLY,561,4
2021,F,5,EARLY,1766,4
2021,F,6,EARLY,1766,4
2021,F,7,EARLY,1766,4
2021,F,8,EARLY,1976,7
2021,F,9,EARLY,1976,7
2021,F,10,EARLY,111,3
2021,F,11,EARLY,849,9
2021,F,12,EARLY,849,9
2021,F,13,EARLY,849,9
2021,F,14,EARLY,849,9
2021,F,15,EARLY,3045,3
2021,F,1,LATE,2073,4
2021,F,2,LATE,2073,4
2021,F,3,LATE,3136,2
2021,F,4,LATE,651,4
2021,F,5,LATE,1855,4
2021,F,6,LATE,1855,4
2021,F,7,LATE,1855,4
2021,F,8,LATE,2066,7
2021,F,9,LATE,2066,7
2021,F,10,LATE,203,3
2021,F,11,LATE,938,9
2021,F,12,LATE,938,9
2021,F,13,LATE,938,9
2021,F,14,LATE,938,9
2021,F,15,LATE,3137,3
2021,S,1,EARLY,379,10
2021,S,2,EARLY,378,10
2021,S,3,EARLY,365,9
2021,S,4,EARLY,730,6
2021,S,5,EARLY,731,6
2021,S,6,EARLY,731,6
2021,S,7,EARLY,731,6
2021,S,8,EARLY,328,10
2021,S,9,EARLY,328,10
2021,S,10,EARLY,111,8
2021,S,11,EARLY,535,8
2021,S,12,EARLY,490,5
2021,S,13,EARLY,490,5
2021,S,14,EARLY,490,5
2021,S,15,EARLY,3045,3
2021,S,1,LATE,469,10
2021,S,2,LATE,469,10
2021,S,3,LATE,456,9
2021,S,4,LATE,820,6
2021,S,5,LATE,820,6
2021,S,6,LATE,820,6
2021,S,7,LATE,820,6
2021,S,8,LATE,418,10
2021,S,9,LATE,418,10
2021,S,10,LATE,203,8
2021,S,11,LATE,623,8
2021,S,12,LATE,577,5
2021,S,13,LATE,577,5
2021,S,14,LATE,577,5
2021,S,15,LATE,3137,3
2022,S,1,EARLY,110,11
2022,S,2,EARLY,111,11
2022,S,3,EARLY,173,10
2022,S,4,EARLY,1109,6
2022,S,5,EARLY,1109,6
2022,S,6,EARLY,1107,2
2022,S,7,EARLY,3017,3
2022,S,8,EARLY,712,10
2022,S,9,EARLY,712,10
2022,S,10,EARLY,489,8
2022,S,11,EARLY,166,9
2022,S,12,EARLY,131,5
2022,S,13,EARLY,131,5
2022,S,14,EARLY,131,5
2022,S,15,EARLY,3423,3
2022,S,16,EARLY,3017,3
2022,S,17,EARLY,1460,6
2022,S,18,EARLY,1273,9
2022,S,19,EARLY,538,3
2022,S,20,EARLY,392,9
2022,S,21,EARLY,362,9
2022,S,22,EARLY,204,9
2022,S,23,EARLY,140,16
2022,S,24,EARLY,93,7
2022,S,25,EARLY,71,14
2022,S,26,EARLY,28,9
2022,S,27,EARLY,1188,8
2022,S,28,EARLY,534,9
2022,S,29,EARLY,110,14
2022,S,30,EARLY,85,9
2022,S,1,LATE,188,11
2022,S,2,LATE,184,11
2022,S,3,LATE,250,10
2022,S,4,LATE,62,7
2022,S,5,LATE,65,7
2022,S,6,LATE,1188,2
2022,S,7,LATE,3087,3
2022,S,8,LATE,788,10
2022,S,9,LATE,788,10
2022,S,10,LATE,571,8
2022,S,11,LATE,240,9
2022,S,12,LATE,205,5
2022,S,13,LATE,205,5
2022,S,14,LATE,205,5
2022,S,15,LATE,3505,3
2022,S,16,LATE,3087,3
2022,S,17,LATE,69,7
2022,S,18,LATE,1355,9
2022,S,19,LATE,611,3
2022,S,20,LATE,465,9
2022,S,21,LATE,435,9
2022,S,22,LATE,271,9
2022,S,23,LATE,216,16
2022,S,24,LATE,166,7
2022,S,25,LATE,148,14
2022,S,26,LATE,106,9
2022,S,27,LATE,1260,8
2022,S,28,LATE,609,9
2022,S,29,LATE,188,14
2022,S,30,LATE,163,9
