DATE,GRASSHOPPER_SPECIES,SEX,ID,MESOCOSM,ARBE,SCSC,SOSE,AMAR,CRAR,ERTO,ERAR,PIGR,SOOD,STSY,MOPU,CHNI,LEHI,TEVI,QULA,VAMY,FRASS_WT
19-Jul-22,PAPH,F,1,1,0,6,0.5,0,0,0,0,6,0,0,0,0.15,0,0,0,0,0.1921
19-Jul-22,PAPH,F,2,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959
19-Jul-22,SPMA,F,1,3,0,0.6,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0.0466
19-Jul-22,SYAD,F,1,4,4,12,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3361
19-Jul-22,SPMA,F,2,5,0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512
19-Jul-22,ACCA,F,1,6,0.25,9,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0.1076
19-Jul-22,SCDA,M,1,7,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0.1141
19-Jul-22,PAPH,F,3,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1678
19-Jul-22,PAPH,M,3,11,0,20,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0.1075
19-Jul-22,SYAD,F,2,12,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2178
19-Jul-22,PAPH,F,4,13,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.0443
19-Jul-22,ACCA,F,2,14,1.5,3,0,0,0,0,0,0,2,0,0,0,0,0,0.33,0,0.1048
19-Jul-22,ACCA,F,3,17,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1074
19-Jul-22,SPMA,F,3,20,0,6.25,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,0.0089
26-Jul-22,PAPH,M,7,1,0,1.5,5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0.0564
26-Jul-22,PAPH,M,8,2,0,8,0.25,0,0,0,7,0,0,0,0,0.5,0,0,0,0,0.0419
26-Jul-22,PAPH,F,5,3,0,14.25,0,0,0,0,0,7,0,0,1,0.5,0,0,0,0,0.1894
26-Jul-22,SPMA,M,1,4,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0.5,0.25,0.0164
26-Jul-22,PAPH,F,6,5,0,16,0,0,0,0,0,8,0,0,0,0,0.2,0,0,0.4,0.2803
26-Jul-22,PAPH,F,7,6,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0454
26-Jul-22,PAPH,F,8,7,0,2.33,0,0,0.15,0,0,1,0,0,0.5,2,0,0,0,0,0.1049
26-Jul-22,SCDA,F,1,8,0,0,0,0,0,0,0,0,0,0,0,24,13.5,6,0,3,0.1624
26-Jul-22,SCDA,M,2,9,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,14,0,0.128
26-Jul-22,SCDA,M,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.25,0.0896
26-Jul-22,SPMA,F,4,11,5.33,0,0,6,0,0,0,0,0,0,2,0.25,0,0,0,0.5,0.0773
26-Jul-22,SPMA,M,2,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0075
26-Jul-22,SPMA,F,6,14,0,0,2.5,0,0,0,0,4,0,0,1,0.2,1,0,0,0,0.0175
26-Jul-22,SYAD,F,3,15,0.75,13.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1132
26-Jul-22,SYAD,F,5,17,3.5,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
26-Jul-22,SYAD,F,6,18,0,24,4,0,0,0,0,0.5,0,0,0,0.15,0.5,0,0,0,0.195
26-Jul-22,SYAD,F,7,19,4,12,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.1053
26-Jul-22,SPMA,F,7,20,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0126
2-Aug-22,MEKE,M,1,2,0,0,0,0,1.25,0,0,1,1,0,1.5,0.2,0,0,0,0,0.034
2-Aug-22,MEKE,M,2,3,0,0,0,10,0.2,0,0,0,0,0,2,0.5,0,0,0.15,0,0.0352
2-Aug-22,SCDA,M,4,4,0,0.1,0,0.3,0.25,0,0,0,0,0,0,13,0,0,5.5,0.4,0.0537
2-Aug-22,SCDA,M,5,5,0,0,3.25,0,0,0,0,0,0,0.2,0,14,0,0,0,0,0.0567
2-Aug-22,ORPE,F,1,6,2.5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567
2-Aug-22,ORPE,M,1,7,0,0.75,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128
2-Aug-22,ORPE,M,2,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116
2-Aug-22,MERO,M,1,10,0,0.25,0,2,0,0,0,0,0,1.25,0,0,0.6,0,0,0,0.0178
2-Aug-22,MERO,F,1,11,0,0,0,0,0.25,0,0,0,0,0,0.75,0.25,0,0,0,0.75,0.0121
2-Aug-22,MERO,F,2,12,0,0,0,0.5,0,0,0,0,0.2,0,6,0.25,0,0,0,0.5,0.0477
2-Aug-22,MERO,F,3,13,0,0,0,3,0,0,0,2,0,0,1.5,0.33,0,0.1,0,1.25,0.0442
2-Aug-22,ACCA,M,1,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0329
2-Aug-22,ACCA,M,2,15,0,5.167,1.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0224
2-Aug-22,ACCA,F,5,17,0,14,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0499
2-Aug-22,ACCA,F,6,18,0,2.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606
2-Aug-22,ACCA,F,7,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428
2-Aug-22,APSP,F,1,20,0,0.25,0,0,0,0,4.5,3,11.5,0,0,0,0,0,0,0.5,0.0718
23-Aug-22,MEKE,M,3,2,0,0,0,9,0,0,0,2,1,0,4.5,0,0,0,0,1.25,0.0562
23-Aug-22,MEKE,F,1,3,0,0,0,3.5,0,0,0,1.5,1.5,0,4,0,0,0,0,0.75,0.0601
23-Aug-22,MEKE,F,2,4,0,0,0,0,0,0,0,1,4.45,0,3.2,0,0,0,0,2.15,0.0815
23-Aug-22,MEKE,M,4,5,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,1.66,0.0421
23-Aug-22,MEKE,F,3,6,0,0,0,1.75,0,0.25,0,0,0.35,0,8.25,0,0,0,0,0,0.0471
23-Aug-22,MEKE,F,4,7,0,0,0,9,0,0,4,0.4,0.25,0,2.4,0,0,0,0,1.4,0.087
23-Aug-22,MEKE,F,5,8,0,0,0,8,0,0,0,1.4,1.7,0,2.85,0,0,0,0,2.8,0.1039
23-Aug-22,MEKE,M,5,10,0,0,0.2,0,0,0,0,1.7,0,0,2.25,0,0,0.1,0,0.1,0.051
23-Aug-22,MEKE,M,6,11,0,0,0,0.25,0,0,0,0.15,0.33,0.5,4.5,0,0,0,0,0,0.0391
23-Aug-22,SCAM,M,1,12,0,6,0,0,0,1.5,0,2.25,0,0.75,0,0.33,1.5,0,0,0.6,0.1319
23-Aug-22,SCAM,M,2,13,0,0,0,9,0,2,1,0.15,0,14.5,0,8,6.85,0,0.9,0,0.1977
23-Aug-22,SCDA,M,6,16,0,0.1,0,0,0,1.25,0,0,0,0,0.05,0,7,0.15,0,0,0.0467
23-Aug-22,ACCA,F,8,17,0,8.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076
23-Aug-22,MEKE,F,6,19,0,0,0,0,0,0,0,2.85,0.75,0,7,0,0,0,0,0.5,0.0555
23-Aug-22,SCAM,M,3,20,0.15,5.7,0,0,0,0.5,0,3,0,0.4,0.15,0.25,0,0.05,3,0.33,0.1061
30-Aug-22,MERO,M,2,1,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.15,0,0.85,0.012
30-Aug-22,SYAD,F,8,2,2.1,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629
30-Aug-22,MERO,M,3,3,0,0,0,0.66,0,0,0,0,0,0.1,1.6,0,0,0,0,0.75,0.0245
30-Aug-22,MERO,M,4,4,0,0,0,1.5,0,0,0,0,0,0,0.25,0,0,0,0,0.65,0.0117
30-Aug-22,MERO,M,5,5,0,0,0,6.5,0,0,0,0,0,0,0.1,0.2,0.1,0,0.55,0.5,0.0202
30-Aug-22,MERO,F,4,7,0,0,0,4,0.1,0.15,0,0.15,0.1,0,2.75,0,0,0,0,1.1,0.0351
30-Aug-22,APSP,F,2,8,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.0113
30-Aug-22,APSP,M,1,9,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0.0095
30-Aug-22,APSP,F,3,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0179
30-Aug-22,APSP,F,4,11,0,0,0,3,0,0,0,1.3,0,0,2.1,0,0,0,0,0.3,0.0279
30-Aug-22,APSP,F,5,12,0,0,0,0.25,0,0,3,1.25,0,0,0,0,0.2,0,0,0.4,0.0317
30-Aug-22,APSP,F,6,13,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0.0205
30-Aug-22,APSP,F,7,14,0,0,0,0,0,0,0,4.5,0,0.45,3.25,0.25,0,0,0,0,0.0628
30-Aug-22,ACCA,M,3,15,0.5,0.55,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142
30-Aug-22,ACCA,M,4,16,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173
30-Aug-22,SCDA,M,7,17,0,0,0.85,0,0.3,0.65,0,0.45,0,0,0,0.15,0.95,0.1,4,0.8,0.0572
30-Aug-22,SPMA,M,3,18,0,0.25,5,0,0,0,0,0.15,0,0,1,0,0,0,0,0.15,0.0194
30-Aug-22,SPMA,M,4,19,0,0.15,0,0.1,0,0,0,0.15,0,0,0,0.5,0,0,0,0,0.0045
30-Aug-22,SPMA,F,8,20,0,0,0,0.5,0,0,0,0.4,0,0,0,0,0,0,0.5,0,0.0127
7-Sep-22,DIVI,M,1,2,0,1,1.8,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.0156
6-Sep-22,ORPE,F,3,4,0,2.25,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261
6-Sep-22,APSP,M,2,6,0,0,0,0.45,0,0,0,0,0,0,0.95,0,0,0,0,0,0.0063
6-Sep-22,APSP,F,8,7,0,0,0,6,0,0,0,4.5,0.15,0,8.25,0.15,0,0,0,0,0.0943
6-Sep-22,MERO,F,5,9,0,0.16,0,4,0,0,0,0.25,0.25,0,5.75,2.25,0,0,0,0.5,0.0365
6-Sep-22,MERO,F,6,10,0,3.35,3.25,0,0,0,0,0,0,4.4,0,0,0,0,0,0.2,0.0259
6-Sep-22,SCDA,F,2,12,0,0,1.3,0,0.3,2.6,0,0,0.1,0.05,0,13,9.6,2.4,0,0,0.1301
6-Sep-22,SCDA,F,3,13,0,0,0,0,0,14,0,0,0,0,0,16,22,4.8,9,0.5,0.3639
6-Sep-22,SCDA,M,8,14,0,0,0,0,0,2.25,0,0,0,5.5,0,2,0.1,0,0,0.25,0.0677
6-Sep-22,SCDA,M,9,15,0.1,0,0,0,0,12,0,0,0,0,0,1.25,0,0,1.75,0.1,0.0623
6-Sep-22,DIVI,M,3,16,0,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125
6-Sep-22,DIVI,M,4,17,0.4,3.75,6,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.0466
6-Sep-22,ORPE,F,4,18,0.5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693
