HABITAT,SITE,SAMPLE,ID,GENUS,SPECIES,SEX,N,C,LA,LI,RI,ANTENNAL_LENGTH,HEAD_LENGTH,HEAD_HEIGHT,BODY_LENGTH,DIAMETER_HEAD_WIDTH,DIAMETER_THORAX,DIAMETER_ABDOMEN_BASE,DIAMETER_ABDOMEN_TIP,WINGSPAN,EYE_HEIGHT_DIAMETER,EYE_WIDTH_DIAMETER,FEMUR_WIDTH,FEMUR_LENGTH,TIBIA_LENGTH,Comments
F,2,A,1,ACHURUM,CARINATUM,F,11.19,48.01,0.667,1.531,0.892,10.6,8.4,11.2,26.9,3.1,3.2,1.6,1.3,0,2.5,1.1,1.3,18.6,13.1,
F,2,A,2,ACHURUM,CARINATUM,F,11.39,48.18,0.077,1.509,0.786,,8.4,11.4,27.7,3.2,3.6,2.4,1.8,0,2.8,1.3,1.9,17.9,15.9,missing antennae; severed abdomen
S,3,C,18,AMBLYTROPIDIA,MYSTECA,M,10.02,47.65,0.221,1.393,0.584,6.1,4,5.9,20.2,3.7,4.4,1.6,1.6,16.7,2.4,1.7,3.1,13.8,11.6,
S,1,C,3,ACHURUM,CARINATUM,F,10.27,48.5,0.422,1.862,0.834,10.5,8.5,12,28.1,3.2,3.2,1.8,1.7,0,2.5,1.5,1.7,17.6,16.2,
S,9,A,4,ACHURUM,CARINATUM,F,10.41,47.03,0.518,1.592,0.982,11.5,7.8,11,32.9,2.7,3.1,1.8,1,0,2.3,1.2,1.4,19.2,15.9,
F,4,C,5,ACHURUM,CARINATUM,F,9.1,36.38,0.41,1.197,0.46,8.3,8.7,27,21,2.2,2.1,0.8,0.7,0,2,1.2,0.5,13.4,10.1,
F,9,B,6,ACHURUM,CARINATUM,F,10.58,49.07,0.633,1.827,1.029,10.9,8,10.1,30.3,3.3,2.9,3,2.1,0,2.2,1.2,2,18,16.2,
F,10,A,7,ACHURUM,CARINATUM,F,10.27,47.78,0.688,1.637,0.671,10.5,8.3,10.3,37.4,2.9,3.1,3,2,0,2.4,1.2,1.6,16.2,16.2,
S,8,C,8,ACHURUM,CARINATUM,M,11.01,47.58,0.447,0.953,0.585,10,6.3,7.7,23.8,1.7,1.9,1.5,0.8,0,2,0.9,1.2,16.7,13.1,
S,8,A,9,ACHURUM,CARINATUM,M,10.04,47.52,,,,11.3,6.2,8.3,21.5,1.9,2.3,1.5,0.8,0,2.5,1,1.1,13.9,12.3,
F,8,B,10,ACHURUM,CARINATUM,M,9.76,43.63,0.372,0.967,0.535,9.9,6.4,7.8,19.9,1.6,2.1,1.3,0.7,0,1.8,1.5,1.4,14.9,13.5,
F,9,C,11,ACHURUM,CARINATUM,F,8.62,44.92,0.625,1.35,0.54,8.4,6.9,9,22.1,2.5,2.5,1.4,0.8,0,2.2,1.3,1.6,13.8,12.5,
S,5,A,12,ACHURUM,CARINATUM,F,9.46,46.22,0.412,1.527,0.581,8.9,5.9,6.9,21.2,2.4,2.5,1.4,0.6,0,2.2,1,1.4,13.6,13.3,
S,5,A,13,ACHURUM,CARINATUM,F,11.64,46.72,0.509,1.283,0.518,10.4,6.9,10,20.7,2.1,2.4,0.8,0.8,0,2.3,0.8,0.8,15.2,13,
S,5,A,14,ACHURUM,CARINATUM,M,9.93,47.05,0.338,0.563,0.248,5.3,4.1,5.9,13.7,1.3,1.4,1.1,0.7,0,1.4,0.8,0.4,8.2,7.9,
S,4,C,15,ACHURUM,CARINATUM,M,10.82,47.41,0.46,0.87,0.487,8.4,5.4,6.2,18.1,1.8,2,1,0.4,0,1.9,0.9,,,,missing both legs
S,14,A,16,ACHURUM,CARINATUM,M,10.98,47.44,0.226,0.937,0.564,10.2,5.7,7.6,21.5,1.6,2.2,1.2,0.7,0,2.2,1.3,,,,
S,10,C,17,ACHURUM,CARINATUM,M,9.9,46.47,0.287,0.986,0.428,7.1,7.9,6.2,16.8,1.7,1.4,0.8,0.2,0,1.7,0.9,1.3,11.4,10,
S,4,A,19,AMBLYTROPIDIA,MYSTECA,F,9.54,46.15,1.099,1.858,1.276,7,4.4,7.4,20.4,4.5,5.3,1.7,1.9,21.5,3.5,2.4,4,17.3,14,
S,4,C,20,AMBLYTROPIDIA,MYSTECA,M,10.18,48.02,0.235,1.648,0.711,7.3,3.4,6.4,15.3,3.6,3.9,1.7,1.9,17.1,3,1.7,3.3,16.3,12.6,
S,4,C,21,AMBLYTROPIDIA,MYSTECA,M,9.91,47.5,0.772,1.477,0.613,6.6,3.6,6.2,15.7,3.5,3.7,1.3,1.9,17.1,3.2,1.9,3.3,14.5,11.5,
S ,5,A,22,AMBLYTROPIDIA,MYSTECA,M,10.64,47.56,0.232,1.544,0.656,6.5,3.5,5.7,14.9,3.3,3.9,1.3,1.6,16.7,2.5,1.7,2.8,13.5,11.4,
S,6,C,23,AMBLYTROPIDIA,MYSTECA,M,10.87,47.81,0.307,1.446,0.656,6,3.1,6.2,16.8,3.6,3.7,1,1.1,17.9,2.7,1.7,1.5,16,11.4,
F,4,A,24,CHORTOPHAGA,AUSTRALIOR,F,10.15,46.5,0.449,2.124,0.674,7.8,3.5,6.7,19.6,4.2,6.1,3.2,2.2,21,2.5,1.5,3.9,15.1,12.8,
F,2,C,25,CHORTOPHAGA,AUSTRALIOR,M,10.03,46.35,0.491,1.737,0.704,7.6,3,5.4,14.7,3.3,4.5,1.7,1.8,16.8,1.9,1.5,3.3,11.8,10.4,
S,4,A,27,DICHROMORPHA,VIRIDIS,F,9.56,50.01,0.762,1.942,1.002,4.6,4.1,6.8,18.4,4.2,4.7,2.1,1.8,0,2.8,1.9,3.6,14.1,13.3,
S,5,A,28,DICHROMORPHA,VIRIDIS,M,9.25,48.74,0.685,1.323,0.794,5.3,3.4,5.1,13.6,3.4,3,3.1,2,0,2.1,1.5,2.4,13.3,10.6,
F,4,B,29,APTENOPEDES,SPHENARIOIDES,F,9.49,48.1,0.376,1.565,0.671,6.5,3.1,5.7,19.7,3.5,4.4,2.6,1.6,0,3,1.5,2.9,12.3,10.1,
F,4,C,30,APTENOPEDES,SPHENARIOIDES,F,10.09,45.91,0.457,1.402,0.598,6.9,3.3,6.3,19.6,3.9,4.8,1.1,2.1,0,3.2,1.8,2.9,13.7,10.9,
F,4,C,31,APTENOPEDES,SPHENARIOIDES,M,10.36,47.45,0.271,1.09,0.403,8.2,2.2,4.5,13.5,2.8,3.2,1.8,2.1,0,2.4,1.4,2.2,10,9.6,
S,4,A,32,APTENOPEDES,SPHENARIOIDES,F,,,0.322,1.53,0.641,6,3.4,5.8,18.6,3.5,4.6,1.7,1.4,0,2.2,1.4,2.7,11.1,10.8,
S,4,C,33,APTENOPEDES,SPHENARIOIDES,F,11.18,46.34,0.592,1.181,0.361,6.1,2,6.1,17.3,3.6,4.4,1.8,1.6,0,2.7,1.5,2.8,12.5,11.4,
F,2,B,34,APTENOPEDES,SPHENARIOIDES,M,7.4,35.67,0.28,1.237,0.43,6,1.7,4.5,13.3,2.9,3.2,1.4,1.7,0,1.9,1.3,2.1,9.3,8.8,
F,1,B,35,APTENOPEDES,SPHENARIOIDES,M,10.53,47.44,0.538,1.198,0.399,6.9,1.3,4.1,12.7,2.8,3.2,1.3,2.2,0,1.9,1.3,2.1,8.2,7.6,
S,12,C,36,APTENOPEDES,SPHENARIOIDES,M,10.3,46.39,0.202,1.145,0.492,5.7,1.8,4.2,11.8,2.8,2.7,1.1,2.1,0,2.1,1.7,1.1,8.1,7.9,
S,12,C,37,APTENOPEDES,SPHENARIOIDES,M,9.28,47.41,0.301,1.166,0.543,7.3,2.9,4.1,13,2.9,3.6,1.8,2.1,0,2.7,1.8,2.4,9.6,8.5,
S,4,C,38,ERITETTIX,OBSCURUS,F,9.27,47.36,0.681,1.452,1.007,5.4,3.4,5.4,13.5,3.3,3.5,2,1.9,0,2.7,1.6,3,12.3,10.3,
S ,5,B,39,ERITETTIX,OBSCURUS,M,,,0.329,0.964,0.438,5.8,3.1,4.4,10.2,2.4,2.9,1.4,1.3,0,1.8,1.2,2.4,8.8,7.7,
S,11,B,40,ERITETTIX,OBSCURUS,M,8.56,47.1,0.257,1.029,0.601,5.5,2.3,4.2,8.8,2.5,3,1.1,1.5,0,1.8,1.1,2.4,9.2,8.1,
F,4,A,41,MELANOPLUS,ROTUNDIPENNIS,F,9.02,44.76,0.529,1.69,0.603,7.6,2.4,5.2,15.4,3.4,4.2,2.4,1.6,0,2.2,2.1,3.4,12.3,10.7,
F,4,A,42,MELANOPLUS,ROTUNDIPENNIS,M,9.38,45.4,0.284,1.244,0.455,6.9,2.2,4.2,11.5,2.9,3.7,1.9,2.5,0,1.9,2.3,2.6,10.2,8.4,
S,15,C,43,MELANOPLUS,ROTUNDIPENNIS,F,11.39,48,0.246,1.683,0.661,7,2.9,5.1,16.8,3.4,5.1,2.6,1.5,0,2.5,1.8,3.3,12,10.4,
S,8,A,44,MELANOPLUS,ROTUNDIPENNIS,F,9.92,45.51,0.406,0.936,0.929,6.6,2.1,5.1,14.2,4.4,2.7,2.4,1.8,0,2.4,1.5,2.8,11.4,10.3,
F,8,C,45,MELANOPLUS,ROTUNDIPENNIS,F,10.27,47.96,0.633,1.42,0.675,,1.9,5.2,21.1,3.6,4.3,2.7,2.1,0,2.3,1.7,3,12.2,9.7,missing antennae; severed abdomen
F,8,C,46,MELANOPLUS,ROTUNDIPENNIS,F,11.49,47.52,0.597,1.256,0.616,8.4,2.8,5.2,14.7,3.5,4.8,2.3,1.7,0,2.3,1.3,3.1,12.3,10.5,
F,9,A,47,MELANOPLUS,ROTUNDIPENNIS,F,11.34,46.73,0.422,1.552,0.658,6.8,2.4,4.9,15.6,3.4,4.5,2.2,1.4,0,2.3,1.6,3.1,11.7,10.6,
S,9,B,48,MELANOPLUS,ROTUNDIPENNIS,F,9.22,49.71,0.299,1.476,0.639,7.5,2.7,5.4,16.7,3.5,5,2.2,2,0,2.2,1.6,3.4,11.9,11,
S,9,B,49,MELANOPLUS,ROTUNDIPENNIS,M,11.03,47.62,0.296,1.384,0.484,7.1,2.3,4.2,12.1,2.9,3.9,2.1,2.7,0,2.3,1.6,2.9,9.9,8.7,
S,9,B,50,MELANOPLUS,ROTUNDIPENNIS,M,10.71,48.15,0.423,1.294,0.507,7.2,2,4.3,11.5,2.9,3.7,2,2.3,0,2.2,1.7,2.5,10.8,9,
F,10,C,51,MELANOPLUS,ROTUNDIPENNIS,M,10.98,47.68,0.206,1.209,0.49,7,2.3,4.2,13.3,3.1,4,2.1,2.2,0,2.2,1.7,2.6,10.6,9.5,
S,4,C,52,MELANOPLUS,ROTUNDIPENNIS,M,11.36,47.56,0.218,1.265,0.502,6.3,2.1,4.3,12.5,3.2,4,1.9,2.7,0,2.1,1.6,2.8,9.7,8.3,
S,5,A,53,MELANOPLUS,ROTUNDIPENNIS,F,,,0.234,1.628,0.688,7.6,2.4,5.2,15.9,3.4,5.2,2.5,1.6,0,2.4,1.5,3.3,12.6,12,
S,6,B,54,MELANOPLUS,ROTUNDIPENNIS,F,8.07,46.56,0.503,1.548,0.628,7,2.8,5.2,15.4,3.4,5.3,2.7,1.3,0,2.3,1.5,3.1,11.8,10,
S,3,B,55,MELANOPLUS,ROTUNDIPENNIS,F,11.24,47.52,0.352,1.287,0.468,7.6,2.5,5.1,15,3.5,5,2.9,3.2,0,2.3,1.8,3,12.1,11.1,
S,7,B,56,MELANOPLUS,ROTUNDIPENNIS,M,9.71,43.95,0.2,1.125,0.484,5.5,1.1,3.9,13.5,3,3.5,1.6,2.3,0,1.6,1.9,2,9.8,8.4,
S,1,B,57,MELANOPLUS,ROTUNDIPENNIS,F,10.09,46.32,0.351,1.887,0.6,7.5,2.7,4.8,14.7,3.4,5.1,3.3,1.7,0,2.4,1.7,3,12.3,10.4,
S,1,B,58,MELANOPLUS,ROTUNDIPENNIS,F,11.67,48.26,0.4,1.582,0.602,7.8,2,4.9,13.4,3.5,4.3,2.1,2,0,2.8,1.4,3.1,11.8,10.7,
S,1,B,59,MELANOPLUS,ROTUNDIPENNIS,M,11.19,47.75,0.302,1.132,0.487,5.7,2,4,10.1,2.7,3.1,1.3,2.4,0,2.1,1.6,2.3,9,8.6,
S,14,A,60,MELANOPLUS,ROTUNDIPENNIS,M,10.01,46.81,0.412,1.154,0.433,6.6,2.1,4.1,10.9,3.1,3.6,1.4,2.3,0,2.1,1.8,2.7,10.7,8.5,
S,11,B,61,MELANOPLUS,ROTUNDIPENNIS,M,9.67,48.38,0.336,1.132,0.431,6,2.6,4,10.1,2.9,3.4,1.5,2.1,0,2.1,1.6,2.2,9.6,7,
S,11,A,62,MELANOPLUS,ROTUNDIPENNIS,M,10.18,46.4,0.523,1.221,0.488,7,2.4,3.9,14.2,3,4.1,1.7,2.2,0,2.2,1.8,2.4,9.6,8.9,leg fell off
S,11,A,63,MELANOPLUS,ROTUNDIPENNIS,M,10.72,46.89,,,,7.2,2.1,4.2,13.3,3.2,4.1,1.9,2.5,0,2.6,1.8,2.7,9.9,9.1,
S,12,A,64,MELANOPLUS,ROTUNDIPENNIS,M,10.96,47.91,0.362,0.975,0.481,5.6,1.6,3.7,11.6,2.9,3,1.9,2.4,0,1.9,1.4,2.6,9.3,9.3,
S,12,A,65,MELANOPLUS,ROTUNDIPENNIS,M,9.11,47.43,0.383,1.421,0.528,5.8,2.6,4.5,11.4,3.1,3.8,1.9,2.5,0,1.8,1.6,2.7,9.7,9,
S,12,A,66,MELANOPLUS,ROTUNDIPENNIS,M,10.81,47.52,0.383,1.218,0.526,6.8,2.4,4,12.4,3,3.6,1.8,2.3,0,2,1.3,2.8,9.6,8.6,
S,12,A,67,MELANOPLUS,ROTUNDIPENNIS,F,10.69,46.18,0.422,1.641,0.579,7,2.9,4.7,15.4,3.3,4.6,2.1,1.5,0,2.3,1.6,3,11.3,9.1,
S,12,C,68,MELANOPLUS,ROTUNDIPENNIS,M,9.52,46.48,0.388,1.285,0.4,7.1,2.4,4.1,14,3,3.2,1.6,2.4,0,1.9,1.8,2.5,10.3,9,
S,12,C,69,MELANOPLUS,ROTUNDIPENNIS,M,10.8,46.74,0.248,1.303,0.309,6.9,2.5,4.2,11.2,3.1,3.7,1.8,2.3,0,2,1.5,3.1,9.6,11.7,
S,12,A,70,MELANOPLUS,KEELERI,M,11.19,47.78,0.507,2.04,0.823,11.6,2.6,5.7,15.6,4.1,5.2,2.4,3,19.2,3,2.3,3.2,13.9,12.4,
S,7,C,71,MELANOPLUS,IMPUDICUS,M,10.28,47.07,,,,,2,5.7,17.1,3.7,5.8,2.1,2.8,19.1,2.7,1.9,3.2,12.7,11.1,antennae fell off
F,1,A,72,ORPHULELLA,PELIDNA,F,10.31,46.32,0.743,1.256,1.766,5,3.8,6.1,17.2,3.3,3.7,1.7,1,17.5,2.4,1.7,2.7,12.4,10.8,
F,1,B,73,ORPHULELLA,PELIDNA,F,10.65,47.55,0.613,1.647,0.948,6.1,3.7,5.7,15.7,3.4,4,2.4,1.7,19.1,2.4,1.9,,,,missing back legs
F,13,A,74,ORPHULELLA,PELIDNA,F,8.18,40.88,0.275,1.57,0.791,15.2,3.8,5.7,16.1,3.4,4.2,2.1,1.9,8.7,2,1.5,2.7,12,10.7,
S,14,C,75,ORPHULELLA,PELIDNA,F,10.55,47.33,0.186,1.592,0.923,,3.6,6.5,16.4,3.6,3.9,1.8,1.4,20.8,2.6,1.5,3,13,11.5,
F,10,A,76,ORPHULELLA,PELIDNA,F,9.82,47.65,0.159,1.488,0.755,5.9,2.1,5.5,17.2,3.1,3.9,1.7,1,16.6,2.1,1.4,2.6,12.3,9.3,
F,4,B,77,ORPHULELLA,PELIDNA,F,9.58,46.22,0.65,1.73,0.738,6.5,3.3,5.6,15.8,3.3,4,2.1,1.4,0,2.4,1.6,2.6,11.2,9.9,
F,4,B,78,ORPHULELLA,PELIDNA,M,10.22,45.86,0.191,1.141,0.387,7.1,4.5,4.6,11.8,2.7,2.8,1.1,1.5,14.5,1.9,1.6,2.3,10.8,9.5,
F,4,B,79,ORPHULELLA,PELIDNA,M,10.73,46.46,0.246,1.17,0.512,6.1,2.4,4.6,12.3,2.4,2.7,1.4,1.4,14.7,2,1.4,2.1,9.9,8.8,
F,4,A,80,ORPHULELLA,PELIDNA,M,10.17,45.85,,,,6.6,1.9,4.7,12.9,2.7,3.5,1.5,1.6,15.5,1.9,1.5,2.2,10.9,8.6,
F,4,A,81,ORPHULELLA,PELIDNA,M,10.22,46.96,0.239,1.233,0.62,7.6,3.2,4.9,13.4,2.8,3.2,1.4,1.4,15.3,1.9,1.7,2.3,9.7,9,
F,10,C,82,ORPHULELLA,PELIDNA,M,9.51,43.78,0.352,1.202,0.548,6.4,2.5,4.6,11.9,2.7,3.1,1.4,1.3,15.5,2.1,1.5,2.2,10.1,8.2,
S,11,C,83,ORPHULELLA,PELIDNA,F,10.59,46.76,0.173,1.623,0.81,6.5,2.5,6,14.6,3.4,4,2.4,1.1,18.1,2.5,1.6,2.8,12.4,11,
S,3,A,84,ORPHULELLA,PELIDNA,M,9.01,46.07,0.182,1.209,0.605,6.7,2.5,4.3,11.9,2.6,2.8,1.2,1.3,14,2.2,1.5,2,10,9,
S,3,C,85,ORPHULELLA,PELIDNA,M,11.51,47.35,0.417,1.323,0.6,5.7,3.1,4.5,12.3,2.7,3,1.1,1.5,14,2,1.5,2,9.3,9.4,
S,4,A,86,ORPHULELLA,PELIDNA,M,10.89,46.82,0.213,1.124,0.556,6.7,2.8,4.9,11.9,2.8,3.4,1.4,1.4,15.2,2,1.5,2.2,10.5,8.2,
F,14,B,87,PARDALOPHORA,PHOENICOPTERA,F,11.85,47.46,1.282,2.419,0.901,10.6,4.8,10.9,30.1,7.8,12.7,8.5,4.7,37.5,3.4,2.5,1.9,23.3,19.5,
F,14,A,88,PARDALOPHORA,PHOENICOPTERA,M,11.52,47.73,1.282,2.419,0.901,12,3.1,8.4,22.3,5.8,9.2,4.1,3.3,31.3,2.4,2.4,5.8,17.2,14.7,
F,9,B,89,PARDALOPHORA,PHOENICOPTERA,F,11.59,49.09,1.526,3.696,1.224,13.4,5.4,11.7,37,8,13.2,7.6,5.1,38.2,3.3,2.3,6.8,23.6,17,
