Sample ID,wt %N,wt %C,Date,,
1 Hahn March23 Plant,2.98,44.01,4/8/2023,,n=159
2 Hahn March23 Plant,2.09,45.14,4/8/2023,,
3 Hahn March23 Plant,2.73,43.80,4/8/2023,,
4 Hahn March23 Plant,2.75,42.74,4/8/2023,,
5 Hahn March23 Plant,2.63,41.42,4/8/2023,,
6 Hahn March23 Plant,2.33,40.53,4/8/2023,,
7 Hahn March23 Plant,3.32,40.87,4/8/2023,,
8 Hahn March23 Plant,2.60,43.87,4/8/2023,,
9 Hahn March23 Plant,2.76,42.07,4/8/2023,,
10 Hahn March23 Plant,3.42,42.92,4/8/2023,,
11 Hahn March23 Plant,0.78,44.95,4/8/2023,,
12 Hahn March23 Plant,0.84,44.41,4/8/2023,,
13 Hahn March23 Plant,0.84,45.07,4/8/2023,,
14 Hahn March23 Plant,0.92,44.73,4/8/2023,,
15 Hahn March23 Plant,0.91,44.39,4/8/2023,,
16 Hahn March23 Plant,0.84,44.42,4/8/2023,,
17 Hahn March23 Plant,0.79,44.52,4/8/2023,,
18 Hahn March23 Plant,0.82,44.35,4/8/2023,,
19 Hahn March23 Plant,0.89,43.82,4/8/2023,,
20 Hahn March23 Plant,2.07,47.43,4/8/2023,,
21 Hahn March23 Plant,2.20,48.51,4/8/2023,,
22 Hahn March23 Plant,2.58,47.55,4/8/2023,,
23 Hahn March23 Plant,2.77,47.74,4/8/2023,,
24 Hahn March23 Plant,2.02,47.97,4/8/2023,,
25 Hahn March23 Plant,2.50,48.55,4/8/2023,,
26 Hahn March23 Plant,2.27,46.28,4/8/2023,,
27 Hahn March23 Plant,1.71,44.73,4/8/2023,,
28 Hahn March23 Plant,2.25,47.02,4/8/2023,,
29 Hahn March23 Plant,2.14,46.77,4/8/2023,,
30 Hahn March23 Plant,1.70,45.61,4/8/2023,,
31 Hahn March23 Plant,1.19,42.63,4/8/2023,,
32 Hahn March23 Plant,1.61,45.62,4/8/2023,,no sample 33
34 Hahn March23 Plant,1.24,46.07,4/8/2023,,
35 Hahn March23 Plant,1.39,47.20,4/8/2023,,
36 Hahn March23 Plant,1.62,44.49,4/8/2023,,
37 Hahn March23 Plant,1.28,43.68,4/8/2023,,
38 Hahn March23 Plant,1.08,43.26,4/8/2023,,
39 Hahn March23 Plant,0.98,43.53,4/8/2023,,
40 Hahn March23 Plant,1.22,44.69,4/8/2023,,
41 Hahn March23 Plant,1.07,46.94,4/8/2023,,
42 Hahn March23 Plant,1.15,45.50,4/8/2023,,
43 Hahn March23 Plant,1.38,45.21,4/9/2023,,
44 Hahn March23 Plant,1.10,44.85,4/9/2023,,
45 Hahn March23 Plant,1.31,46.70,4/9/2023,,
46 Hahn March23 Plant,1.53,45.22,4/9/2023,,
47 Hahn March23 Plant,1.23,45.35,4/9/2023,,
48 Hahn March23 Plant,1.89,48.81,4/9/2023,,
49 Hahn March23 Plant,0.75,45.87,4/9/2023,,
50 Hahn March23 Plant,1.10,44.81,4/9/2023,,
51 Hahn March23 Plant,1.24,46.09,4/9/2023,,
52 Hahn March23 Plant,1.44,45.51,4/9/2023,,
53 Hahn March23 Plant,1.19,46.26,4/9/2023,,
54 Hahn March23 Plant,1.17,45.48,4/9/2023,,
55 Hahn March23 Plant,1.38,46.86,4/9/2023,,
56 Hahn March23 Plant,0.93,46.10,4/9/2023,,
57 Hahn March23 Plant,0.96,46.19,4/9/2023,,
58 Hahn March23 Plant,1.20,44.26,4/9/2023,,
59 Hahn March23 Plant,1.19,44.76,4/9/2023,,
60 Hahn March23 Plant,1.17,45.98,4/9/2023,,
61 Hahn March23 Plant,2.23,46.06,4/9/2023,,
62 Hahn March23 Plant,2.05,46.70,4/9/2023,,
63 Hahn March23 Plant,1.74,46.35,4/9/2023,,
64 Hahn March23 Plant,1.87,46.71,4/9/2023,,
65 Hahn March23 Plant,2.11,46.47,4/9/2023,,
66 Hahn March23 Plant,2.01,46.24,4/9/2023,,
67 Hahn March23 Plant,2.41,48.19,4/9/2023,,
68 Hahn March23 Plant,2.00,45.70,4/9/2023,,
69 Hahn March23 Plant,1.61,46.02,4/9/2023,,
70 Hahn March23 Plant,1.89,47.56,4/9/2023,,
71 Hahn March23 Plant,1.16,44.37,4/9/2023,,
72 Hahn March23 Plant,1.02,43.91,4/9/2023,,
73 Hahn March23 Plant,1.96,45.68,4/9/2023,,
74 Hahn March23 Plant,1.45,43.01,4/9/2023,,
75 Hahn March23 Plant,1.57,44.41,4/9/2023,,
76 Hahn March23 Plant,1.66,43.16,4/9/2023,,
77 Hahn March23 Plant,1.31,44.48,4/9/2023,,
