PLANT_ID,SPECIES,WET_WT,DRY_WT,LDMC,TUBE ID
1,AMAR,0.0753,0.0286,379.814077,1
2,AMAR,0.0836,0.0278,332.5358852,2
3,AMAR,0.1034,0.0363,351.0638298,3
4,AMAR,0.1601,0.0574,358.5259213,4
5,AMAR,0.1945,0.0687,353.2133676,5
6,AMAR,0.1042,0.0353,338.7715931,6
7,AMAR,0.1835,0.0537,292.6430518,7
8,AMAR,0.1013,0.0385,380.05923,8
9,AMAR,0.0371,0.0145,390.8355795,9
10,AMAR,0.0547,0.0194,354.6617916,10
1,ARBE,0.1156,0.0628,543.2525952,11
2,ARBE,0.0996,0.037,371.4859438,12
3,ARBE,0.1105,0.0618,559.2760181,13
4,ARBE,0.095,0.0522,549.4736842,14
6,ARBE,0.0796,0.0375,471.1055276,15
7,ARBE,0.0779,0.0371,476.2516046,16
8,ARBE,0.0878,0.0451,513.667426,17
9,ARBE,0.0657,0.0325,494.6727549,18
10,ARBE,0.1102,0.0572,519.0562613,19
1,CHNI,0.0165,0.0073,442.4242424,20
2,CHNI,0.041,0.0168,409.7560976,21
3,CHNI,0.0292,0.0109,373.2876712,22
4,CHNI,0.0365,0.0154,421.9178082,23
5,CHNI,0.0387,0.0166,428.9405685,24
6,CHNI,0.0342,0.015,438.5964912,25
7,CHNI,0.0366,0.0132,360.6557377,26
8,CHNI,0.0516,0.0198,383.7209302,27
9,CHNI,0.0452,0.0179,396.0176991,28
10,CHNI,0.0204,0.0089,436.2745098,29
1,CRAR,0.0841,0.0263,312.7229489,30
2,CRAR,0.0495,0.0176,355.5555556,31
3,CRAR,0.0581,0.0168,289.1566265,32
4,CRAR,0.075,0.0247,329.3333333,34
5,CRAR,0.0496,0.0161,324.5967742,35
6,CRAR,0.1064,0.0329,309.2105263,36
7,CRAR,0.0725,0.0235,324.137931,37
8,CRAR,0.0796,0.0276,346.7336683,38
9,CRAR,0.0666,0.0237,355.8558559,39
10,CRAR,0.053,0.0204,384.9056604,40
1,ERAR,0.0082,0.0036,439.0243902,41
2,ERAR,0.0168,0.0053,315.4761905,42
3,ERAR,0.0158,0.0044,278.4810127,43
4,ERAR,0.0193,0.0058,300.5181347,44
5,ERAR,0.009,0.0032,355.5555556,45
6,ERAR,0.0265,0.0068,256.6037736,46
7,ERAR,0.0239,0.0075,313.8075314,47
8,ERAR,0.0073,0.0021,287.6712329,48
9,ERAR,0.0074,0.0029,391.8918919,49
10,ERAR,0.0084,0.0031,369.047619,50
1,ERTO,0.0886,0.0372,419.8645598,51
2,ERTO,0.0642,0.0252,392.5233645,52
3,ERTO,0.0527,0.0239,453.5104364,53
4,ERTO,0.0501,0.0194,387.2255489,54
5,ERTO,0.0849,0.0312,367.4911661,55
6,ERTO,0.0371,0.0168,452.8301887,56
7,ERTO,0.078,0.0297,380.7692308,57
8,ERTO,0.0543,0.0226,416.2062615,58
9,ERTO,0.11,0.0441,400.9090909,59
10,ERTO,0.0411,0.0183,445.2554745,60
1,LEHI,0.0659,0.0235,356.6009105,61
2,LEHI,0.0907,0.0382,421.168688,62
3,LEHI,0.0828,0.0375,452.8985507,63
4,LEHI,0.0518,0.0251,484.5559846,64
5,LEHI,0.0512,0.0219,427.734375,65
6,LEHI,0.0403,0.0169,419.3548387,66
7,LEHI,0.0343,0.0147,428.5714286,67
8,LEHI,0.045,0.0192,426.6666667,68
9,LEHI,0.0251,0.01,398.4063745,69
10,LEHI,0.0428,0.0203,474.2990654,70
1,MOPU,0.044,0.0108,245.4545455,71
2,MOPU,0.0638,0.0152,238.2445141,72
3,MOPU,0.0245,0.0061,248.9795918,73
4,MOPU,0.0563,0.0134,238.0106572,74
5,MOPU,0.0805,0.021,260.8695652,75
6,MOPU,0.0105,0.0024,228.5714286,76
7,MOPU,0.0484,0.012,247.9338843,77
8,MOPU,0.0652,0.0139,213.190184,78
9,MOPU,0.0374,0.0084,224.5989305,79
10,MOPU,0.0469,0.0118,251.5991471,80
1,PIGR,0.0295,0.0112,379.6610169,81
2,PIGR,0.0161,0.0065,403.7267081,82
3,PIGR,0.0195,0.0069,353.8461538,83
4,PIGR,0.0302,0.0125,413.9072848,84
5,PIGR,0.0301,0.0117,388.7043189,85
6,PIGR,0.0119,0.005,420.1680672,86
7,PIGR,0.0212,0.008,377.3584906,87
8,PIGR,0.0073,0.0031,424.6575342,88
9,PIGR,0.0145,0.0055,379.3103448,89
10,PIGR,0.0158,0.0073,462.0253165,90
1,QULA,0.7931,0.4296,541.6719203,91
2,QULA,0.6195,0.5376,867.7966102,92
3,QULA,0.3697,0.2058,556.6675683,93
4,QULA,0.249,0.132,530.1204819,94
5,QULA,0.824,0.4454,540.5339806,95
6,QULA,1.084,0.5566,513.4686347,96
7,QULA,0.5161,0.2569,497.7717497,97
8,QULA,0.4766,0.2462,516.5757449,98
9,QULA,0.5949,0.2926,491.8473693,99
10,QULA,0.524,0.4449,849.0458015,100
1,SCSC,0.1085,0.0396,364.9769585,101
2,SCSC,0.0937,0.0329,351.1205977,102
3,SCSC,0.1714,0.0659,384.4807468,103
4,SCSC,0.1633,0.0614,375.995101,104
5,SCSC,0.1358,0.0504,371.1340206,105
6,SCSC,0.1956,0.0721,368.609407,106
7,SCSC,0.0802,0.028,349.127182,107
8,SCSC,0.0915,0.0333,363.9344262,108
9,SCSC,0.114,0.046,403.5087719,109
10,SCSC,0.0965,0.0334,346.1139896,110
1,SOOD,0.0442,0.0188,425.3393665,111
2,SOOD,0.0553,0.024,433.9963834,112
3,SOOD,0.0368,0.0129,350.5434783,113
4,SOOD,0.0434,0.0178,410.1382488,114
5,SOOD,0.0567,0.0242,426.8077601,115
6,SOOD,0.0575,0.0251,436.5217391,116
7,SOOD,0.0675,0.0272,402.962963,117
8,SOOD,0.0472,0.0174,368.6440678,118
9,SOOD,0.0433,0.016,369.5150115,119
10,SOOD,0.0391,0.0155,396.4194373,120
1,SOSE,0.3325,0.1217,366.0150376,121
2,SOSE,0.2442,0.0861,352.5798526,122
3,SOSE,0.3017,0.1099,364.2691415,123
4,SOSE,0.0824,0.0337,408.9805825,124
5,SOSE,0.1114,0.0442,396.7684022,125
6,SOSE,0.3179,0.116,364.8946209,126
7,SOSE,0.1937,0.0754,389.261745,127
8,SOSE,0.456,0.1803,395.3947368,128
9,SOSE,0.5629,0.1992,353.8816841,129
10,SOSE,0.2672,0.0902,337.5748503,130
1,STSY,0.1664,0.0553,332.3317308,131
2,STSY,0.1207,0.0361,299.0886495,132
3,STSY,0.2255,0.0696,308.6474501,133
4,STSY,0.1857,0.066,355.4119548,134
5,STSY,0.1951,0.0657,336.7503844,135
6,STSY,0.1136,0.0351,308.9788732,136
7,STSY,0.1688,0.0526,311.6113744,137
8,STSY,0.1789,0.0618,345.4443823,138
9,STSY,0.1154,0.0373,323.2235702,139
10,STSY,0.3114,0.0811,260.4367373,140
1,TEVI,0.3903,0.1553,397.899052,141
2,TEVI,0.1617,0.0592,366.1100804,142
3,TEVI,0.2692,0.0989,367.384844,143
4,TEVI,0.3076,0.1156,375.8127438,144
5,TEVI,0.2039,0.0777,381.0691515,145
6,TEVI,0.2102,0.0726,345.3853473,146
7,TEVI,0.2087,0.0752,360.3258265,147
8,TEVI,0.2511,0.0977,389.0880127,148
9,TEVI,0.3695,0.1394,377.2665765,149
10,TEVI,0.2161,0.0831,384.5441925,150
1,VAMY,0.0112,0.0043,383.9285714,151
2,VAMY,0.0137,0.0062,452.5547445,152
3,VAMY,0.029,0.0124,427.5862069,153
4,VAMY,0.024,0.009,375,154
5,VAMY,0.0172,0.0075,436.0465116,155
6,VAMY,0.012,0.0044,366.6666667,156
7,VAMY,0.0108,0.0053,490.7407407,157
