"","TIME.OF.YEAR","SITE","ACCA","APSP"
"1","EARLY",1,1,2
"2","EARLY",2,1,2
"3","EARLY",3,2,6
"4","EARLY",4,0,6
"5","EARLY",5,7,15
"6","EARLY",6,0,1
"7","EARLY",7,0,2
"8","EARLY",8,2,2
"9","EARLY",9,0,3
"10","EARLY",10,2,0
"11","EARLY",11,1,6
"12","EARLY",12,0,2
"13","EARLY",13,0,2
"14","EARLY",14,3,1
"15","EARLY",15,3,4
"16","EARLY",16,1,2
"17","EARLY",17,0,1
"18","EARLY",18,0,19
"19","EARLY",19,3,4
"20","EARLY",20,3,4
"21","EARLY",21,0,1
"22","EARLY",22,0,3
"23","EARLY",23,0,11
"24","EARLY",24,2,2
"25","EARLY",25,1,6
"26","EARLY",26,0,1
"27","EARLY",27,2,3
"28","EARLY",28,0,5
"29","EARLY",29,0,12
"30","EARLY",30,3,31
